phase1_label_terms	whisky label bottle	DOWNLOADED	File:Johnnie Walker Red Label Blended Scotch Whisky 01.jpg	https://upload.wikimedia.org/wikipedia/commons/5/56/Johnnie_Walker_Red_Label_Blended_Scotch_Whisky_01.jpg
phase1_spelling_labels	irish whiskey scotch whisky bottle labels	DOWNLOADED	File:The Scotch Whiskey (1988 Order) (Commencement and Transitional Provisions) Order (Northern Ireland) 1990 (NISR 1990-169).pdf	https://upload.wikimedia.org/wikipedia/commons/3/33/The_Scotch_Whiskey_%281988_Order%29_%28Commencement_and_Transitional_Provisions%29_Order_%28Northern_Ireland%29_1990_%28NISR_1990-169%29.pdf
phase3_yeast_micro	saccharomyces cerevisiae microscope	DOWNLOADED	File:Saccharomyces cerevisiae Loeffler's Methylene Blue Staining.jpg	https://upload.wikimedia.org/wikipedia/commons/3/3d/Saccharomyces_cerevisiae_Loeffler%27s_Methylene_Blue_Staining.jpg
phase10_barley_cross_section	barley grain cross section	DOWNLOADED	File:Morphology of the barley grain with reference to its enzym-secreting areas (IA morphologyofbarl183mann).pdf	https://upload.wikimedia.org/wikipedia/commons/d/de/Morphology_of_the_barley_grain_with_reference_to_its_enzym-secreting_areas_%28IA_morphologyofbarl183mann%29.pdf
phase3_pot_still_diagram	pot still diagram	DOWNLOADED	File:The still-hunter (IA stillhunter00vandiala).pdf	https://upload.wikimedia.org/wikipedia/commons/7/7b/The_still-hunter_%28IA_stillhunter00vandiala%29.pdf
phase4_scotland_map	scotch whisky regions map	DOWNLOADED	File:Guide book to Cape Breton (microform) - royal province of Nova Scotia or New Scotland, Dominion of Canada - with an original map, and a plan of Louisburg (IA cihm 06932).pdf	https://upload.wikimedia.org/wikipedia/commons/b/b0/Guide_book_to_Cape_Breton_%28microform%29_-_royal_province_of_Nova_Scotia_or_New_Scotland%2C_Dominion_of_Canada_-_with_an_original_map%2C_and_a_plan_of_Louisburg_%28IA_cihm_06932%29.pdf
phase2_highland_clearances	highland clearances ruins	DOWNLOADED	File:The history of the Highland clearances (IA historyofhighlan00mackrich).pdf	https://upload.wikimedia.org/wikipedia/commons/3/31/The_history_of_the_Highland_clearances_%28IA_historyofhighlan00mackrich%29.pdf
phase2_phylloxera	phylloxera vineyard	DOWNLOADED	File:The grape phylloxera (Phylloxera vitifoliae Fitch) in California (IA grapephylloxerap00davi).pdf	https://upload.wikimedia.org/wikipedia/commons/6/6d/The_grape_phylloxera_%28Phylloxera_vitifoliae_Fitch%29_in_California_%28IA_grapephylloxerap00davi%29.pdf
phase2_trade_ship	old ship whisky barrels	DOWNLOADED	File:The mate of the good ship York; or, The ship's adventure (IA mateofgoodshipyo00russiala).pdf	https://upload.wikimedia.org/wikipedia/commons/7/7c/The_mate_of_the_good_ship_York%3B_or%2C_The_ship%27s_adventure_%28IA_mateofgoodshipyo00russiala%29.pdf
phase5_burns_supper	burns supper	DOWNLOADED	File:Burns Supper - January 25th 2024.jpg	https://upload.wikimedia.org/wikipedia/commons/6/6d/Burns_Supper_-_January_25th_2024.jpg
phase5_whisky_auction	whisky auction	DOWNLOAD_ERROR	File:HK Admiralty 金鐘道 Queensway 太古廣場 Pacific Place Poly Auction preview wine bottles May 2023 Px3 03.jpg	HTTP Error 429: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1)
phase5_japanese_whisky_bar	japanese whisky bar	DOWNLOAD_ERROR	File:Whisky bar - panoramio.jpg	HTTP Error 429: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1)
phase6_floor_plan	distillery floor plan	DOWNLOAD_ERROR	File:United States Department of the Interior, strategic plan for fiscal years 2011-2016. (IA unitedstatesdepa00unse 4).pdf	HTTP Error 429: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1)
phase6_co2_safety	co2 warning sign	DOWNLOAD_ERROR	File:Red squirrels warning signs, Lake District.jpg	HTTP Error 429: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1)
phase6_lab_bench	hydrometer laboratory	DOWNLOAD_ERROR	File:Laboratory Hydrometer test.jpg	HTTP Error 429: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1)
phase9_gas_chromatogram	gas chromatogram	DOWNLOAD_ERROR	File:HP 6890 Gas chromatogram-mass spectrometer used on CSI.jpg	HTTP Error 429: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1)
